id,user_id,skill_id,certificationName,certificationFile,create_at,issued_date,expiry_date,status
1,452,949,SQL Developer Certification,microsoftdataanalystassociate.net,2024-03-13,2020-06-04,9/28/2020,pending
2,748,49,Python Institute Certifications,toastmastersinternationalcertifications.com,2023-07-11,2018-12-27,5/1/2019,pending
3,816,52,Graphic Design Certifications,graphicdesigncertifications.net,2023-09-20,2013-04-04,12/2/2013,Approved
4,721,255,SQL Developer Certification,oraclejavaprofessional.com,2023-06-08,2012-08-04,11/22/2012,pending
5,431,189,React Certification,reactdevelopernanodegree.com,2023-05-23,2011-08-29,3/14/2012,pending
6,343,143,Java SE Programmer,pmpprofessionalcertification.net,2023-06-25,2016-02-20,6/29/2016,Not Approved
7,176,169,Zend Certified PHP Engineer,toastmastersinternationalcertifications.com,2023-04-30,2012-05-12,8/24/2012,Not Approved
8,613,745,Project Management Professional (PMP) Certification,toastmastersinternationalcertifications.com,2023-04-13,2013-11-26,2/23/2014,Not Approved
9,940,726,React Certification,presentationdesigncertification.org,2024-03-20,2016-01-25,9/12/2016,Not Approved
10,281,870,Toastmasters International Certifications Professional Presentation Skills,certifiedpythondeveloper.org,2024-02-17,2020-01-06,10/7/2020,pending
11,735,49,Microsoft Certified: Data Analyst Associate,pythoninstitutecertifications.com,2023-09-08,2021-06-20,10/29/2021,Not Approved
12,114,508,Oracle Certified Professional,reactdevelopernanodegree.com,2023-08-26,2023-05-07,12/6/2023,Not Approved
13,118,207,React Certification,certifiedpythondeveloper.org,2023-06-26,2016-06-19,6/11/2017,Approved
14,218,167,Azure Data Engineer Associate,pmpprofessionalcertification.net,2023-09-20,2012-08-12,12/28/2012,pending
15,743,225,Azure Data Engineer Associate,microsoftdataanalystassociate.net,2023-07-01,2013-01-22,1/4/2014,Approved
16,591,166,Project Management Professional (PMP) Certification,certifiedscrummaster.org,2024-02-13,2022-10-01,8/10/2023,Approved
17,201,81,Zend Certified PHP Engineer,phpcertification.net,2024-02-07,2010-09-24,3/2/2011,Not Approved
18,397,397,Certified Python Developer,certifiedpythondeveloper.org,2024-03-24,2014-11-11,9/12/2015,pending
19,934,749,Presentation Design Certification,pmpprofessionalcertification.net,2023-05-15,2023-06-15,2/7/2024,Approved
20,746,784,Java Certification (offered by Oracle),oraclejavacertification.org,2023-08-31,2017-06-23,12/15/2017,Not Approved
21,781,756,Certified Python Developer,powerbiexampractice.com,2023-11-16,2023-03-24,9/12/2023,Not Approved
22,353,790,Certified Python Developer,pythoninstitutecertifications.com,2023-12-26,2022-08-12,10/9/2022,Approved
23,278,208,PHP Certification,reactcertification.org,2024-01-10,2015-10-31,1/28/2016,Not Approved
24,800,546,Python Institute Certifications,certifiedscrummaster.org,2024-02-25,2016-12-26,3/24/2017,Not Approved
25,528,142,Graphic Design Certifications,pmpprofessionalcertification.net,2023-05-12,2024-03-15,3/20/2024,Approved
26,444,937,Project Management Professional (PMP) Certification,snowflakecertifiedsnowpro.com,2023-06-15,2017-09-27,1/7/2018,pending
27,761,488,Oracle Certified Professional,oraclejavacertification.org,2024-03-11,2011-12-18,3/7/2012,pending
28,82,811,React Certification,snowflakecertifiedsnowpro.com,2023-09-23,2023-04-29,12/26/2023,Not Approved
29,272,999,Certified ScrumMaster (CSM),reactcertification.org,2023-08-31,2020-08-12,10/26/2020,pending
30,806,946,SnowPro Core Certification,presentationdesigncertification.org,2024-03-02,2022-10-08,9/4/2023,pending
31,617,938,SQL Developer Certification,pmpprofessionalcertification.net,2023-06-20,2017-09-22,12/12/2017,Not Approved
32,364,78,Certified Python Developer,certifiedscrummaster.org,2023-10-12,2011-02-24,4/3/2011,Approved
33,419,302,Azure Data Engineer Associate,oraclejavaprofessional.com,2024-03-28,2014-12-26,11/22/2015,Not Approved
34,535,583,Java Certification (offered by Oracle),reactcertification.org,2023-07-02,2011-06-04,10/19/2011,pending
