id,user_id,skillname,proficiencyLevel,status,created_at
1,377,Security auditing,Advanced,Approved,4/8/2023
2,198,Social media management,Intermediate,pending,6/21/2023
3,91,Cryptocurrency,Intermediate,Not Approved,8/12/2023
4,782,GraphQL,Intermediate,Approved,6/27/2023
5,188,Serverless architecture,Advanced,Approved,3/5/2024
6,112,Serverless architecture,Advanced,Approved,6/8/2023
7,333,Wireframing,Beginner,pending,6/27/2023
8,357,Blockchain technology,Advanced,Not Approved,8/12/2023
9,250,AWS cloud computing,Beginner,pending,3/3/2024
10,737,Time management,Beginner,Approved,4/15/2023
11,72,Decision-making,Advanced,pending,4/6/2024
12,717,Test automation,Beginner,pending,2/19/2024
13,185,User research,Beginner,Not Approved,11/23/2023
14,743,Data modeling,Intermediate,pending,1/26/2024
15,344,Active listening.,Beginner,Not Approved,8/14/2023
16,798,Disaster recovery planning,Intermediate,pending,8/6/2023
17,715,UI/UX design,Advanced,Not Approved,6/4/2023
18,788,Hadoop,Intermediate,pending,3/26/2024
19,370,Content management systems (CMS),Intermediate,Approved,5/17/2023
20,443,Bash scripting,Intermediate,Approved,9/27/2023
21,790,Process improvement,Beginner,Not Approved,10/11/2023
22,227,IT asset management,Beginner,pending,9/5/2023
23,573,IT asset management,Intermediate,pending,4/7/2024
24,576,Critical thinking,Intermediate,Approved,11/23/2023
25,377,Vue.js),Beginner,Not Approved,5/11/2023
26,245,Continuous integration (CI),Intermediate,Approved,9/22/2023
27,597,Business analysis,Beginner,Approved,1/14/2024
28,322,User research,Intermediate,pending,6/2/2023
29,10,Test automation,Intermediate,Approved,8/23/2023
30,295,SEO (Search Engine Optimization),Intermediate,Approved,5/9/2023
31,403,Content management systems (CMS),Advanced,Not Approved,5/7/2023
32,117,Active listening.,Beginner,pending,3/2/2024
33,160,DevOps practices,Advanced,Not Approved,2/17/2024
34,460,Software testing,Advanced,Approved,10/21/2023
35,129,Data visualization,Beginner,pending,12/30/2023
36,491,Network security,Beginner,Not Approved,12/10/2023
37,699,Python programming,Advanced,Not Approved,11/6/2023
38,986,Usability testing,Beginner,Not Approved,9/28/2023
39,437,Lean methodology,Beginner,pending,12/10/2023
40,673,GraphQL,Beginner,Not Approved,6/7/2023
41,138,Service management tools (e.g.,Beginner,Not Approved,10/3/2023
42,155,Hadoop,Advanced,pending,7/3/2023
43,466,Time management,Advanced,pending,7/3/2023
44,602,Content management systems (CMS),Intermediate,pending,1/28/2024
45,631,Infrastructure as Code (IaC),Beginner,Approved,12/29/2023
46,953,Time management,Advanced,Not Approved,6/9/2023
47,719,Digital marketing,Intermediate,pending,4/25/2023
48,279,Business analysis,Intermediate,Not Approved,1/23/2024
49,505,Cryptography,Advanced,Not Approved,10/8/2023
50,278,Business continuity planning,Advanced,Not Approved,10/13/2023
51,939,Customer relationship management (CRM),Advanced,Not Approved,4/18/2023
52,715,Email marketing,Intermediate,pending,4/27/2023
53,411,Incident response,Beginner,Not Approved,3/25/2024
54,769,Hadoop,Intermediate,Approved,12/14/2023
55,295,Technical writing,Advanced,pending,12/27/2023
56,642,Active listening.,Advanced,Approved,3/16/2024
57,667,Mobile app development (iOS,Beginner,Not Approved,2/25/2024
58,334,Data analysis,Intermediate,Approved,5/8/2023
59,511,Continuous deployment (CD),Intermediate,pending,10/26/2023
60,961,Behavior-driven development (BDD),Advanced,Not Approved,8/2/2023
61,77,Windows system administration,Advanced,Not Approved,6/10/2023
62,818,Data analysis,Intermediate,Not Approved,10/2/2023
63,286,Prototyping,Advanced,Approved,4/23/2023
64,629,Data analysis,Intermediate,Not Approved,10/7/2023
65,680,Incident response,Beginner,pending,10/26/2023
66,221,PPC advertising,Advanced,pending,5/27/2023
67,918,Hadoop,Intermediate,pending,12/6/2023
68,101,Network administration,Advanced,Approved,12/8/2023
69,431,HTML/CSS,Advanced,Not Approved,9/19/2023
70,722,Angular,Beginner,pending,6/13/2023
71,399,ITIL (Information Technology Infrastructure Library),Advanced,pending,9/22/2023
72,25,Disaster recovery planning,Intermediate,pending,5/1/2023
73,463,Problem-solving,Beginner,Approved,1/2/2024
74,318,Change management,Intermediate,pending,12/16/2023
75,23,Process improvement,Intermediate,pending,11/4/2023
76,619,Penetration testing,Intermediate,Not Approved,5/31/2023
77,497,Business continuity planning,Intermediate,Not Approved,9/14/2023
78,796,ITIL (Information Technology Infrastructure Library),Beginner,pending,3/18/2024
79,809,Vue.js),Beginner,Not Approved,11/24/2023
80,325,Behavior-driven development (BDD),Intermediate,Approved,3/2/2024
81,239,Artificial intelligence,Intermediate,Approved,3/17/2024
82,805,Cybersecurity,Advanced,Approved,1/1/2024
83,434,ITIL (Information Technology Infrastructure Library),Advanced,Approved,1/4/2024
84,496,Cryptography,Intermediate,Approved,2/1/2024
85,373,Mobile app development (iOS,Beginner,pending,8/18/2023
86,330,Computer vision,Beginner,Not Approved,1/30/2024
87,443,Network security,Intermediate,Approved,10/13/2023
88,898,Linux system administration,Intermediate,Not Approved,9/12/2023
89,917,Wireframing,Intermediate,Not Approved,2/13/2024
90,688,ServiceNow,Advanced,pending,7/28/2023
91,23,Natural language processing,Intermediate,pending,8/8/2023
92,589,ITIL (Information Technology Infrastructure Library),Advanced,Approved,11/29/2023
93,359,Enterprise integration,Beginner,Not Approved,11/26/2023
94,997,Service management tools (e.g.,Beginner,pending,8/22/2023
95,532,Data analysis,Intermediate,Not Approved,12/24/2023
96,916,Big data technologies (e.g.,Intermediate,pending,2/14/2024
97,268,Natural language processing,Intermediate,Approved,3/13/2024
98,865,Behavior-driven development (BDD),Intermediate,Approved,7/12/2023
99,848,Email marketing,Advanced,pending,7/11/2023
100,273,DevOps practices,Advanced,pending,6/7/2023
101,689,Compliance and regulatory knowledge,Intermediate,pending,11/24/2023
102,973,Web development frameworks (e.g.,Advanced,Approved,5/19/2023
103,467,Linux system administration,Advanced,Approved,3/24/2024
104,766,Leadership and team management,Beginner,pending,12/18/2023
105,185,Identity and access management (IAM),Beginner,Not Approved,12/4/2023
106,779,Bash scripting,Beginner,Approved,1/12/2024
107,606,IoT (Internet of Things),Intermediate,Not Approved,4/2/2024
108,466,Serverless architecture,Beginner,Not Approved,9/14/2023
109,645,React.js,Beginner,pending,6/12/2023
110,166,Creativity and innovation,Advanced,Approved,1/20/2024
111,368,Windows system administration,Advanced,Approved,12/13/2023
112,270,Big data technologies (e.g.,Beginner,Approved,3/31/2024
113,276,Kanban,Advanced,Approved,1/24/2024
114,643,IT project management,Beginner,pending,9/22/2023
115,575,VMware virtualization,Advanced,pending,6/5/2023
116,488,Hadoop,Beginner,Approved,11/27/2023
117,16,Robotics,Intermediate,pending,7/18/2023
118,407,Artificial intelligence,Intermediate,Approved,7/26/2023
119,52,Business analysis,Intermediate,pending,8/17/2023
120,293,Customer relationship management (CRM),Advanced,Approved,1/9/2024
121,399,Behavior-driven development (BDD),Beginner,Approved,7/16/2023
122,605,Computer vision,Intermediate,Approved,9/24/2023
123,827,Version control systems (e.g.,Advanced,Approved,9/12/2023
124,877,Security auditing,Intermediate,Approved,8/3/2023
125,850,GraphQL,Beginner,Approved,10/7/2023
126,540,Usability testing,Beginner,pending,5/16/2023
127,748,Android),Beginner,pending,5/5/2023
128,220,AWS cloud computing,Advanced,Approved,5/15/2023
129,582,Incident response,Beginner,pending,2/26/2024
130,703,Angular,Advanced,Approved,8/10/2023
131,804,SVN),Intermediate,pending,3/9/2024
132,926,AWS cloud computing,Advanced,Approved,3/26/2024
133,138,IT asset management,Advanced,Not Approved,12/22/2023
134,850,Wireframing,Advanced,Not Approved,1/18/2024
135,157,Hadoop,Advanced,Approved,5/3/2023
136,895,Google Cloud Platform,Beginner,Approved,9/24/2023
137,292,Compliance and regulatory knowledge,Advanced,Approved,7/30/2023
138,803,Agile methodologies,Beginner,Approved,4/30/2023
139,966,Decision-making,Advanced,pending,10/1/2023
140,235,Android),Beginner,pending,4/29/2023
141,410,Data modeling,Intermediate,Approved,7/29/2023
142,157,Data analysis,Beginner,Approved,8/7/2023
143,611,Prototyping,Intermediate,pending,5/3/2023
144,991,IoT (Internet of Things),Advanced,pending,7/6/2023
145,684,Presentation skills,Intermediate,pending,1/6/2024
