id,user_id,skill_id,projectName,projectDescription,projectExperience,role,create_at,status
1,155,592,SQL Database Optimization Project,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,7 months,Quality Assurance (QA) Engineer,2/12/2024,Not Approved
2,662,550,SQL Database Optimization Project,Enhance existing Power BI dashboards with advanced visualizations and data insights.,6 months,Project Manager,7/22/2023,pending
3,926,433,React Web Application Development,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,4 years,Subject Matter Expert (SME),11/6/2023,Not Approved
4,633,67,SQL Database Optimization Project,Develop a scalable and responsive web application using React for improved user experience.,6 months,Developer/Programmer,12/29/2023,Approved
5,911,975,Snowflake Data Warehouse Migration,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,1 years,Developer/Programmer,8/26/2023,pending
6,360,494,SQL Database Optimization Project,Develop a scalable and responsive web application using React for improved user experience.,5 months,Quality Assurance (QA) Engineer,4/6/2024,pending
7,288,408,Python Data Analysis Automation,Develop a scalable and responsive web application using React for improved user experience.,5 years,Project Manager,10/5/2023,Approved
8,947,88,Presenting Skills Workshop Development,Implement a robust project management tool to streamline workflows and improve collaboration among teams.,6 months,Subject Matter Expert (SME),4/30/2023,Not Approved
9,842,756,Project Management Tool Implementation,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,8 months,Project Manager,9/23/2023,pending
10,278,211,Java Enterprise Application Development,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 years,Team Lead,1/10/2024,Approved
11,741,195,PHP Forum Integration,Enhance existing Power BI dashboards with advanced visualizations and data insights.,3 months,Subject Matter Expert (SME),3/5/2024,Approved
12,97,122,Python Data Analysis Automation,Integrate PHP-based forum software into existing web platform for enhanced community engagement.,7 months,Quality Assurance (QA) Engineer,2/21/2024,Not Approved
13,493,268,Presenting Skills Workshop Development,Develop a scalable and responsive web application using React for improved user experience.,4 years,Subject Matter Expert (SME),11/25/2023,Approved
14,992,325,React Web Application Development,Redesign presentation slides template to modernize branding and improve visual appeal.,10 years,Quality Assurance (QA) Engineer,7/31/2023,pending
15,990,601,Presenting Skills Workshop Development,Optimize SQL database performance through query optimization and indexing and database tuning techniques.,8 months,Designer,11/17/2023,Not Approved
16,450,990,PHP Forum Integration,Develop enterprise-grade applications using Java to meet business requirements and ensure scalability.,10 years,Business Analyst,9/26/2023,Not Approved
17,539,408,PHP Forum Integration,Migrate data warehouse to Snowflake platform for improved scalability and performance and cost-effectiveness.,3 months,Subject Matter Expert (SME),12/9/2023,pending
18,133,401,Power BI Dashboard Enhancement,Develop a scalable and responsive web application using React for improved user experience.,10 years,Subject Matter Expert (SME),8/20/2023,Not Approved
19,407,323,React Web Application Development,Enhance existing Power BI dashboards with advanced visualizations and data insights.,2 years,Designer,1/4/2024,Not Approved
20,567,677,React Web Application Development,Automate data analysis processes using Python scripts and optimizing efficiency and accuracy.,4 months,Subject Matter Expert (SME),3/18/2024,Not Approved
21,60,484,Power BI Dashboard Enhancement,Redesign presentation slides template to modernize branding and improve visual appeal.,1 month,Subject Matter Expert (SME),7/18/2023,Not Approved
